 tran_flag,Detected by Transits,pl_tranflag,Detected by Transits,mpl_tranflag,Detected by Transits
 ast_flag,Detected by Astrometric Variations,pl_astflag,Detected by Astrometric Variations,N/A,N/A
 obm_flag,Detected by Orbital Brightness Modulations,pl_omflag,Detected by Orbital Brightness Modulations,N/A,N/A
 micro_flag,Detected by Microlensing,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,N/A
 etv_flag,Detected by Eclipse Timing Variations,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,N/A
 ima_flag,Detected by Imaging,pl_imgflag,Detected by Imaging,N/A,N/A
 dkin_flag,Detected by Disk Kinematics,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,N/A
 soltype,Solution Type,N/A,PLANETARY SYSTEMS ONLY,N/A,N/A
 pl_controv_flag,Controversial Flag,pl_controvflag,Controversial Flag,N/A,N/A
 pl_refname,Planetary Parameter Reference,N/A,PLANETARY SYSTEMS ONLY,N/A,N/A
 pl_orbper,Orbital Period [days],pl_orbper,Orbital Period [days],mpl_orbper,Orbital Period [days]
 pl_orbpererr1,Orbital Period Upper Unc. [days],pl_orbpererr1,Orbital Period Upper Unc. [days],mpl_orbpererr1,Orbital Period Upper Unc. [days]
 pl_orbpererr2,Orbital Period Lower Unc. [days],pl_orbpererr2,Orbital Period Lower Unc. [days],mpl_orbpererr2,Orbital Period Lower Unc. [days]
 pl_orbperlim,Orbital Period Limit Flag,pl_orbperlim,Orbital Period Limit Flag,mpl_orbperlim,Orbital Period Limit Flag
 pl_orbsmax,Orbit Semi-Major Axis [au]),pl_orbsmax,Orbit Semi-Major Axis [au]),mpl_orbsmax,Orbit Semi-Major Axis [au])
 pl_orbsmaxerr1,Orbit Semi-Major Axis Upper Unc. [au],pl_orbsmaxerr1,Orbit Semi-Major Axis Upper Unc. [au],mpl_orbsmaxerr1,Orbit Semi-Major Axis Upper Unc. [au]
 pl_orbsmaxerr2,Orbit Semi-Major Axis Lower Unc. [au],pl_orbsmaxerr2,Orbit Semi-Major Axis Lower Unc. [au],mpl_orbsmaxerr2,Orbit Semi-Major Axis Lower Unc. [au]
 pl_orbsmaxlim,Orbit Semi-Major Axis Limit Flag,pl_orbsmaxlim,Orbit Semi-Major Axis Limit Flag,mpl_orbsmaxlim,Orbit Semi-Major Axis Limit Flag
 pl_rade,Planet Radius [Earth Radius],pl_rade,Planet Radius [Earth Radius],mpl_rade,Planet Radius [Earth Radius]
 pl_radeerr1,Planet Radius Upper Unc. [Earth Radius],pl_radeerr1,Planet Radius Upper Unc. [Earth Radius],mpl_radeerr1,Planet Radius Upper Unc. [Earth Radius]
 pl_radeerr2,Planet Radius Lower Unc. [Earth Radius],pl_radeerr2,Planet Radius Lower Unc. [Earth Radius],mpl_radeerr2,Planet Radius Lower Unc. [Earth Radius]
 pl_radelim,Planet Radius Limit Flag,pl_radelim,Planet Radius Limit Flag,mpl_radelim,Planet Radius Limit Flag
 pl_radj,Planet Radius [Jupiter Radius],pl_radj,Planet Radius [Jupiter Radius],mpl_radj,Planet Radius [Jupiter Radius]
 pl_radjerr1,Planet Radius Upper Unc. [Jupiter Radius],pl_radjerr1,Planet Radius Upper Unc. [Jupiter Radius],mpl_radjerr1,Planet Radius Upper Unc. [Jupiter Radius]
 pl_radjerr2,Planet Radius Lower Unc. [Jupiter Radius],pl_radjerr2,Planet Radius Lower Unc. [Jupiter Radius],mpl_radjerr2,Planet Radius Lower Unc. [Jupiter Radius]
 pl_radjlim,Planet Radius Limit Flag,pl_radjlim,Planet Radius Limit Flag,mpl_radjlim,Planet Radius Limit Flag
 pl_masse,Planet Mass [Earth Mass],pl_masse,Planet Mass [Earth Mass],mpl_masse,Planet Mass [Earth Mass]
 pl_masseerr1,Planet Mass [Earth Mass] Upper Unc.,pl_masseerr1,Planet Mass [Earth Mass] Upper Unc.,mpl_masse,Planet Mass [Earth Mass] Upper Unc.
 pl_masseerr2,Planet Mass [Earth Mass] Lower Unc.,pl_masseerr2,Planet Mass [Earth Mass] Lower Unc.,mpl_masse,Planet Mass [Earth Mass] Lower Unc.
 pl_masselim,Planet Mass [Earth Mass] Limit Flag,pl_masselim,Planet Mass [Earth Mass] Limit Flag,mpl_masse,Planet Mass [Earth Mass] Limit Flag
 pl_massj,Planet Mass [Jupiter Mass],pl_massj,Planet Mass [Jupiter Mass],mpl_massj,Planet Mass [Jupiter Mass]
 pl_massjerr1,Planet Mass [Jupiter Mass] Upper Unc.,pl_massjerr1,Planet Mass [Jupiter Mass] Upper Unc.,mpl_massjerr1,Planet Mass [Jupiter Mass] Upper Unc.
 pl_massjerr2,Planet Mass [Jupiter Mass] Lower Unc.,pl_massjerr2,Planet Mass [Jupiter Mass] Lower Unc.,mpl_massjerr2,Planet Mass [Jupiter Mass] Lower Unc.
 pl_massjlim,Planet Mass [Jupiter Mass] Limit Flag,pl_massjlim,Planet Mass [Jupiter Mass] Limit Flag,mpl_massjlim,Planet Mass [Jupiter Mass] Limit Flag
 pl_msinie,Planet Mass*sin(i) [Earth Mass],pl_msinie,Planet Mass*sin(i) [Earth Mass],mpl_msinie,Planet Mass*sin(i) [Earth Mass]
 pl_msinieerr1,Planet Mass*sin(i) [Earth Mass] Upper Unc.,pl_msinieerr1,Planet Mass*sin(i) [Earth Mass] Upper Unc.,mpl_msinieerr1,Planet Mass*sin(i) [Earth Mass] Upper Unc.
 pl_msinieerr2,Planet Mass*sin(i) [Earth Mass] Lower Unc.,pl_msinieerr2,Planet Mass*sin(i) [Earth Mass] Lower Unc.,mpl_msinieerr2,Planet Mass*sin(i) [Earth Mass] Lower Unc.
 pl_msinielim,Planet Mass*sin(i) [Earth Mass] Limit Flag,pl_msinielim,Planet Mass*sin(i) [Earth Mass] Limit Flag,mpl_msinielim,Planet Mass*sin(i) [Earth Mass] Limit Flag
 pl_msinij,Planet Mass*sin(i) [Jupiter Mass],pl_msinij,Planet Mass*sin(i) [Jupiter Mass],mpl_msinij,Planet Mass*sin(i) [Jupiter Mass]
 pl_msinijerr1,Planet Mass*sin(i) [Jupiter Mass] Upper Unc.,pl_msinijerr1,Planet Mass*sin(i) [Jupiter Mass] Upper Unc.,mpl_msinijerr1,Planet Mass*sin(i) [Jupiter Mass] Upper Unc.
 pl_msinijerr2,Planet Mass*sin(i) [Jupiter Mass] Lower Unc.,pl_msinijerr2,Planet Mass*sin(i) [Jupiter Mass] Lower Unc.,mpl_msinijerr2,Planet Mass*sin(i) [Jupiter Mass] Lower Unc.
 pl_msinijlim,Planet Mass*sin(i) [Jupiter Mass] Limit Flag,pl_msinijlim,Planet Mass*sin(i) [Jupiter Mass] Limit Flag,mpl_msinijlim,Planet Mass*sin(i) [Jupiter Mass] Limit Flag
 pl_cmasse,Planet Mass*sin(i)/sin(i) [Earth Mass],N/A,PLANETARY SYSTEMS ONLY,N/A,N/A
 pl_cmasseerr1,Planet Mass*sin(i)/sin(i) [Earth Mass] Upper Unc.,N/A,PLANETARY SYSTEMS ONLY,N/A,N/A
 pl_cmasseerr2,Planet Mass*sin(i)/sin(i) [Earth Mass] Lower Unc.,N/A,PLANETARY SYSTEMS ONLY,N/A,N/A
 pl_cmasselim,Planet Mass*sin(i)/sin(i) [Earth Mass] Limit Flag,N/A,PLANETARY SYSTEMS ONLY,N/A,N/A
 pl_cmassj,Planet Mass*sin(i)/sin(i) [Jupiter Mass],N/A,PLANETARY SYSTEMS ONLY,N/A,N/A
 pl_cmassjerr1,Planet Mass*sin(i)/sin(i) [Jupiter Mass] Upper Unc.,N/A,PLANETARY SYSTEMS ONLY,N/A,N/A
 pl_cmassjerr2,Planet Mass*sin(i)/sin(i) [Jupiter Mass] Lower Unc.,N/A,PLANETARY SYSTEMS ONLY,N/A,N/A
 pl_cmassjlim,Planet Mass*sin(i)/sin(i) [Jupiter Mass] Limit Flag,N/A,PLANETARY SYSTEMS ONLY,N/A,N/A
 pl_bmasse,Planet Mass or Mass*sin(i) [Earth Mass],pl_bmasse,Planet Mass or Mass*sin(i) [Earth Mass],mpl_bmasse,Planet Mass or Mass*sin(i) [Earth Mass]
 pl_bmasseerr1,Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.,pl_bmasseerr1,Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.,mpl_bmasseerr1,Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
 pl_bmasseerr2,Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.,pl_bmasseerr2,Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.,mpl_bmasseerr2,Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
 pl_bmasselim,Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag,pl_bmasselim,Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag,mpl_bmasselim,Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
 pl_bmassj,Planet Mass or Mass*sin(i) [Jupiter Mass],pl_bmassj,Planet Mass or Mass*sin(i) [Jupiter Mass],mpl_bmassj,Planet Mass or Mass*sin(i) [Jupiter Mass]
 pl_bmassjerr1,Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.,pl_bmassjerr1,Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.,mpl_bmassjerr1,Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
 pl_bmassjerr2,Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.,pl_bmassjerr2,Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.,mpl_bmassjerr2,Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
 pl_bmassjlim,Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag,pl_bmassjlim,Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag,mpl_bmassjlim,Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
 pl_bmassprov,Planet Mass or Mass*sin(i) Provenance,pl_bmassprov,Planet Mass or Mass*sin(i) Provenance,mpl_bmassprov,Planet Mass or Mass*sin(i) Provenance
 pl_dens,Planet Density [g/cm**3],pl_dens,Planet Density [g/cm**3],mpl_dens,Planet Density [g/cm**3]
 pl_denserr1,Planet Density Upper Unc. [g/cm**3],pl_denserr1,Planet Density Upper Unc. [g/cm**3],mpl_denserr1,Planet Density Upper Unc. [g/cm**3]
 pl_denserr2,Planet Density Lower Unc. [g/cm**3],pl_denserr2,Planet Density Lower Unc. [g/cm**3],mpl_denserr2,Planet Density Lower Unc. [g/cm**3]
 pl_denslim,Planet Density Limit Flag,pl_denslim,Planet Density Limit Flag,mpl_denslim,Planet Density Limit Flag
 pl_orbeccen,Eccentricity,pl_orbeccen,Eccentricity,mpl_orbeccen,Eccentricity
 pl_orbeccenerr1,Eccentricity Upper Unc.,pl_orbeccenerr1,Eccentricity Upper Unc.,mpl_orbeccenerr1,Eccentricity Upper Unc.
 pl_orbeccenerr2,Eccentricity Lower Unc.,pl_orbeccenerr2,Eccentricity Lower Unc.,mpl_orbeccenerr2,Eccentricity Lower Unc.
 pl_orbeccenlim,Eccentricity Limit Flag,pl_orbeccenlim,Eccentricity Limit Flag,mpl_orbeccenlim,Eccentricity Limit Flag
 pl_insol,Insolation Flux [Earth Flux],pl_insol,Insolation Flux [Earth Flux],mpl_insol,Insolation Flux [Earth Flux]
 pl_insolerr1,Insolation Flux Upper Unc. [Earth Flux],pl_insolerr1,Insolation Flux Upper Unc. [Earth Flux],mpl_insolerr1,Insolation Flux Upper Unc. [Earth Flux]
 pl_insolerr2,Insolation Flux Lower Unc. [Earth Flux],pl_insolerr2,Insolation Flux Lower Unc. [Earth Flux],mpl_insolerr2,Insolation Flux Lower Unc. [Earth Flux]
 pl_insollim,Insolation Flux Limit Flag,pl_insollim,Insolation Flux Limit Flag,mpl_insollim,Insolation Flux Limit Flag
 pl_eqt,Equilibrium Temperature [K],pl_eqt,Equilibrium Temperature [K],mpl_eqt,Equilibrium Temperature [K]
 pl_eqterr1,Equilibrium Temperature Upper Unc. [K],pl_eqterr1,Equilibrium Temperature Upper Unc. [K],mpl_eqterr1,Equilibrium Temperature Upper Unc. [K]
 pl_eqterr2,Equilibrium Temperature Lower Unc. [K],pl_eqterr2,Equilibrium Temperature Lower Unc. [K],mpl_eqterr2,Equilibrium Temperature Lower Unc. [K]
 pl_eqtlim,Equilibrium Temperature Limit Flag,pl_eqtlim,Equilibrium Temperature Limit Flag,mpl_eqtlim,Equilibrium Temperature Limit Flag
 pl_orbincl,Inclination [deg],pl_orbincl,Inclination [deg],mpl_orbincl,Inclination [deg]
 pl_orbinclerr1,Inclination Upper Unc. [deg],pl_orbinclerr1,Inclination Upper Unc. [deg],mpl_orbinclerr1,Inclination Upper Unc. [deg]
 pl_orbinclerr2,Inclination Lower Unc. [deg],pl_orbinclerr2,Inclination Lower Unc. [deg],mpl_orbinclerr2,Inclination Lower Unc. [deg]
 pl_orbincllim,Inclination Limit Flag,pl_orbincllim,Inclination Limit Flag,mpl_orbincllim,Inclination Limit Flag
 pl_tranmid,Transit Midpoint [days],pl_tranmid,Transit Midpoint [days],mpl_tranmid,Transit Midpoint [days]
 pl_tranmiderr1,Transit Midpoint Upper Unc. [days],pl_tranmiderr1,Transit Midpoint Upper Unc. [days],mpl_tranmiderr1,Transit Midpoint Upper Unc. [days]
 pl_tranmiderr2,Transit Midpoint Lower Unc. [days],pl_tranmiderr2,Transit Midpoint Lower Unc. [days],mpl_tranmiderr2,Transit Midpoint Lower Unc. [days]
 pl_tranmidlim,Transit Midpoint Limit Flag,pl_tranmidlim,Transit Midpoint Limit Flag,mpl_tranmidlim,Transit Midpoint Limit Flag
 pl_tsystemref,Time Reference Frame and Standard,pl_tsystemref,Transit Midpoint Time Reference Frame and Standard,mpl_tsystemref,Transit Midpoint Time Reference Frame and Standard
 ttv_flag,Data show Transit Timing Variations,pl_ttvflag,Data show Transit Timing Variations,mpl_ttvflag,Data show Transit Timing Variations
 pl_imppar,Impact Parameter,pl_imppar,Impact Parameter,mpl_imppar,Impact Parameter
 pl_impparerr1,Impact Parameter Upper Unc.,pl_impparerr1,Impact Parameter Upper Unc.,mpl_impparerr1,Impact Parameter Upper Unc.
 pl_impparerr2,Impact Parameter Lower Unc.,pl_impparerr2,Impact Parameter Lower Unc.,mpl_impparerr2,Impact Parameter Lower Unc.
 pl_impparlim,Impact Parameter Limit Flag,pl_impparlim,Impact Parameter Limit Flag,mpl_impparlim,Impact Parameter Limit Flag
 pl_trandep,Transit Depth [%],pl_trandep,Transit Depth [%],mpl_trandep,Transit Depth [%]
 pl_trandeperr1,Transit Depth Upper Unc. [%],pl_trandeperr1,Transit Depth Upper Unc. [%],mpl_trandeperr1,Transit Depth Upper Unc. [%]
 pl_trandeperr2,Transit Depth Lower Unc. [%],pl_trandeperr2,Transit Depth Lower Unc. [%],mpl_trandeperr2,Transit Depth Lower Unc. [%]
 pl_trandeplim,Transit Depth Limit Flag,pl_trandeplim,Transit Depth Limit Flag,mpl_trandeplim,Transit Depth Limit Flag
 pl_trandur,Transit Duration [hours],pl_trandur,Transit Duration [days],mpl_trandur,Transit Duration [hours]
 pl_trandurerr1,Transit Duration Upper Unc. [hours],pl_trandurerr1,Transit Duration Upper Unc. [days],mpl_trandurerr1,Transit Duration Upper Unc. [hours]
 pl_trandurerr2,Transit Duration Lower Unc. [hours],pl_trandurerr2,Transit Duration Lower Unc. [days],mpl_trandurerr2,Transit Duration Lower Unc. [hours]
 pl_trandurlim,Transit Duration Limit Flag,pl_trandurlim,Transit Duration Limit Flag,mpl_trandurlim,Transit Duration Limit Flag
 pl_ratdor,Ratio of Semi-Major Axis to Stellar Radius,pl_ratdor,Ratio of Semi-Major Axis to Stellar Radius,mpl_ratdor,Ratio of Semi-Major Axis to Stellar Radius
 pl_ratdorerr1,Ratio of Semi-Major Axis to Stellar Radius Upper Unc.,pl_ratdorerr1,Ratio of Semi-Major Axis to Stellar Radius Upper Unc.,mpl_ratdorerr1,Ratio of Semi-Major Axis to Stellar Radius Upper Unc.
 pl_ratdorerr2,Ratio of Semi-Major Axis to Stellar Radius Lower Unc.,pl_ratdorerr2,Ratio of Semi-Major Axis to Stellar Radius Lower Unc.,mpl_ratdorerr2,Ratio of Semi-Major Axis to Stellar Radius Lower Unc.
 pl_ratdorlim,Ratio of Semi-Major Axis to Stellar Radius Limit Flag,pl_ratdorlim,Ratio of Semi-Major Axis to Stellar Radius Limit Flag,mpl_ratdorlim,Ratio of Semi-Major Axis to Stellar Radius Limit Flag
 pl_ratror,Ratio of Planet to Stellar Radius,pl_ratror,Ratio of Planet to Stellar Radius,mpl_ratror,Ratio of Planet to Stellar Radius
 pl_ratrorerr1,Ratio of Planet to Stellar Radius Upper Unc.,pl_ratrorerr1,Ratio of Planet to Stellar Radius Upper Unc.,mpl_ratrorerr1,Ratio of Planet to Stellar Radius Upper Unc.
 pl_ratrorerr2,Ratio of Planet to Stellar Radius Lower Unc.,pl_ratrorerr2,Ratio of Planet to Stellar Radius Lower Unc.,mpl_ratrorerr2,Ratio of Planet to Stellar Radius Lower Unc.
 pl_ratrorlim,Ratio of Planet to Stellar Radius Limit Flag,pl_ratrorlim,Ratio of Planet to Stellar Radius Limit Flag,mpl_ratrorlim,Ratio of Planet to Stellar Radius Limit Flag
 pl_occdep,Occultation Depth [%],pl_occdep,Occultation Depth [%],mpl_occdep,Occultation Depth [%]
 pl_occdeperr1,Occultation Depth Upper Unc. [%],pl_occdeperr1,Occultation Depth Upper Unc. [%],mpl_occdeperr1,Occultation Depth Upper Unc. [%]
 pl_occdeperr2,Occultation Depth Lower Unc. [%],pl_occdeperr2,Occultation Depth Lower Unc. [%],mpl_occdeperr2,Occultation Depth Lower Unc. [%]
 pl_occdeplim,Occultation Depth Limit Flag,pl_occdeplim,Occultation Depth Limit Flag,mpl_occdeplim,Occultation Depth Limit Flag
 pl_orbtper,Epoch of Periastron [days],pl_orbtper,Epoch of Periastron [days],mpl_orbtper,Epoch of Periastron [days]
 pl_orbtpererr1,Epoch of Periastron Upper Unc. [days],pl_orbtpererr1,Epoch of Periastron Upper Unc. [days],mpl_orbtpererr1,Epoch of Periastron Upper Unc. [days]
 pl_orbtpererr2,Epoch of Periastron Lower Unc. [days],pl_orbtpererr2,Epoch of Periastron Lower Unc. [days],mpl_orbtpererr2,Epoch of Periastron Lower Unc. [days]
 pl_orbtperlim,Epoch of Periastron Limit Flag,pl_orbtperlim,Epoch of Periastron Limit Flag,mpl_orbtperlim,Epoch of Periastron Limit Flag
 pl_orbtper_systemref,Epoch of Periastron Time System Frame and Standard,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,N/A
 pl_orblper,Argument of Periastron [deg],pl_orblper,Argument of Periastron [deg],mpl_orblper,Argument of Periastron [deg]
 pl_orblpererr1,Argument of Periastron Upper Unc. [deg],pl_orblpererr1,Argument of Periastron Upper Unc. [deg],mpl_orblpererr1,Argument of Periastron Upper Unc. [deg]
 pl_orblpererr2,Argument of Periastron Lower Unc. [deg],pl_orblpererr2,Argument of Periastron Lower Unc. [deg],mpl_orblpererr2,Argument of Periastron Lower Unc. [deg]
 pl_orblperlim,Argument of Periastron Limit Flag,pl_orblperlim,Argument of Periastron Limit Flag,mpl_orblperlim,Argument of Periastron Limit Flag
 pl_rvamp,Radial Velocity Amplitude [m/s],pl_rvamp,Radial Velocity Amplitude [m/s],mpl_rvamp,Radial Velocity Amplitude [m/s]
 pl_rvamperr1,Radial Velocity Amplitude Upper Unc. [m/s],pl_rvamperr1,Radial Velocity Amplitude Upper Unc. [m/s],mpl_rvamperr1,Radial Velocity Amplitude Upper Unc. [m/s]
 pl_rvamperr2,Radial Velocity Amplitude Lower Unc. [m/s],pl_rvamperr2,Radial Velocity Amplitude Lower Unc. [m/s],mpl_rvamperr2,Radial Velocity Amplitude Lower Unc. [m/s]
 pl_rvamplim,Radial Velocity Amplitude Limit Flag,pl_rvamplim,Radial Velocity Amplitude Limit Flag,mpl_rvamplim,Radial Velocity Amplitude Limit Flag
 pl_projobliq,Projected Obliquity [deg],N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,N/A
 pl_projobliqerr1,Projected Obliquity Upper Unc. [deg],N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,N/A
 pl_projobliqerr2,Projected Obliquity Lower Unc. [deg],N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,N/A
 pl_projobliqlim,Projected Obliquity Limit Flag,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,N/A
 pl_trueobliq,True Obliquity [deg],N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,N/A
 pl_trueobliqerr1,True Obliquity Upper Unc. [deg],N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,N/A
 pl_trueobliqerr2,True Obliquity Lower Unc. [deg],N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,N/A
 pl_trueobliqlim,True Obliquity Limit Flag,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,N/A
 st_refname,Stellar Parameter Reference,N/A,PLANETARY SYSTEMS ONLY,N/A,N/A
 st_spectype,Spectral Type,st_spstr,Spectral Type,N/A,N/A
 st_teff,Stellar Effective Temperature [K],st_teff,Stellar Effective Temperature [K],mst_teff,Stellar Effective Temperature [K]
 st_tefferr1,Stellar Effective Temperature Upper Unc. [K],st_tefferr1,Stellar Effective Temperature Upper Unc. [K],mst_tefferr1,Stellar Effective Temperature Upper Unc. [K]
 st_tefferr2,Stellar Effective Temperature Lower Unc. [K],st_tefferr2,Stellar Effective Temperature Lower Unc. [K],mst_tefferr2,Stellar Effective Temperature Lower Unc. [K]
 st_tefflim,Stellar Effective Temperature Limit Flag,st_tefflim,Stellar Effective Temperature Limit Flag,mst_tefflim,Stellar Effective Temperature Limit Flag
 st_rad,Stellar Radius [Solar Radius],st_rad,Stellar Radius [Solar Radius],mst_rad,Stellar Radius [Solar Radius]
 st_raderr1,Stellar Radius Upper Unc. [Solar Radius],st_raderr1,Stellar Radius Upper Unc. [Solar Radius],mst_raderr1,Stellar Radius Upper Unc. [Solar Radius]
 st_raderr2,Stellar Radius Lower Unc. [Solar Radius],st_raderr2,Stellar Radius Lower Unc. [Solar Radius],mst_raderr2,Stellar Radius Lower Unc. [Solar Radius]
 st_radlim,Stellar Radius Limit Flag,st_radlim,Stellar Radius Limit Flag,mst_radlim,Stellar Radius Limit Flag
 st_mass,Stellar Mass [Solar mass],st_mass,Stellar Mass [Solar mass],mst_mass,Stellar Mass [Solar mass]
 st_masserr1,Stellar Mass Upper Unc. [Solar mass],st_masserr1,Stellar Mass Upper Unc. [Solar mass],mst_masserr1,Stellar Mass Upper Unc. [Solar mass]
 st_masserr2,Stellar Mass Lower Unc. [Solar mass],st_masserr2,Stellar Mass Lower Unc. [Solar mass],mst_masserr2,Stellar Mass Lower Unc. [Solar mass]
 st_masslim,Stellar Mass Limit Flag,st_masslim,Stellar Mass Limit Flag,mst_masslim,Stellar Mass Limit Flag
 st_met,Stellar Metallicity [dex],st_metfe,Stellar Metallicity [dex],mst_metfe,Stellar Metallicity [dex]
 st_meterr1,Stellar Metallicity Upper Unc. [dex],st_metfeerr1,Stellar Metallicity Upper Unc. [dex],mst_metfeerr1,Stellar Metallicity Upper Unc. [dex]
 st_meterr2,Stellar Metallicity Lower Unc. [dex],st_metfeerr2,Stellar Metallicity Lower Unc. [dex],mst_metfeerr2,Stellar Metallicity Lower Unc. [dex]
 st_metlim,Stellar Metallicity Limit Flag,st_metfelim,Stellar Metallicity Limit Flag,mst_metfelim,Stellar Metallicity Limit Flag
 st_metratio,Stellar Metallicity Ratio,st_metratio,Stellar Metallicity Ratio,mst_metratio,Stellar Metallicity Ratio
 st_lum,Stellar Luminosity [log(Solar)],st_lum,Stellar Luminosity [log(Solar)],mst_lum,Stellar Luminosity [log(Solar)]
 st_lumerr1,Stellar Luminosity Upper Unc. [log(Solar)],st_lumerr1,Stellar Luminosity Upper Unc. [log(Solar)],mst_lumerr1,Stellar Luminosity Upper Unc. [log(Solar)]
 st_lumerr2,Stellar Luminosity Lower Unc. [log(Solar)],st_lumerr2,Stellar Luminosity Lower Unc. [log(Solar)],mst_lumerr2,Stellar Luminosity Lower Unc. [log(Solar)]
 st_lumlim,Stellar Luminosity Limit Flag,st_lumlim,Stellar Luminosity Limit Flag,mst_lumlim,Stellar Luminosity Limit Flag
 st_logg,Stellar Surface Gravity [log10(cm/s**2)],st_logg,Stellar Surface Gravity [log10(cm/s**2)],mst_logg,Stellar Surface Gravity [log10(cm/s**2)]
 st_loggerr1,Stellar Surface Gravity Upper Unc. [log10(cm/s**2)],st_loggerr1,Stellar Surface Gravity Upper Unc. [log10(cm/s**2)],mst_loggerr1,Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
